# index, TIC ID, TMag, separation (arcsec)
0, 151825527, 11.6739, 0.0
1, 942091824, 18.8466, 14.092
2, 942091823, 18.2335, 24.989
3, 151825522, 16.7856, 26.086
4, 942092001, 19.2385, 36.413
5, 151825521, 15.4739, 36.451
6, 942092000, 20.2502, 38.897
7, 942092008, 20.0208, 41.424
8, 942091822, 18.6702, 38.714
9, 942091815, 18.2298, 42.367
10, 942091816, 19.6689, 44.537
11, 942092004, 18.8424, 47.775
12, 942091825, 18.4412, 48.275
13, 942091820, 19.7164, 48.723
14, 151825526, 11.9454, 53.677
15, 942091819, 19.2805, 51.804
16, 151825517, 18.1933, 54.818
17, 942091821, 19.7976, 54.947
18, 942091818, 19.184, 56.77
19, 151825516, 16.0302, 56.898
20, 151825541, 16.7727, 61.298
21, 942091817, 19.9581, 57.454
22, 942091814, 19.2878, 60.733
23, 942092003, 17.6963, 63.991
24, 942092009, 19.3194, 66.26
25, 942092011, 20.5812, 68.771
26, 942092002, 18.7404, 70.335
27, 942092005, 18.2724, 72.784
28, 942091809, 19.2986, 70.33
29, 151825513, 15.4087, 73.5
30, 942091826, 19.2427, 74.484
31, 942091808, 20.4211, 72.554
32, 942091999, 18.9939, 77.863
33, 942092014, 20.0183, 80.205
34, 942091997, 19.8004, 78.876
35, 942092010, 18.538, 80.549
36, 942091802, 20.0656, 81.339
37, 151825547, 18.0143, 88.99
38, 942092012, 20.7565, 91.648
39, 942091851, 20.1491, 90.001
40, 942091998, 19.9125, 91.71
41, 942091812, 19.3035, 90.37
42, 151825539, 18.7042, 97.063
43, 151825511, 15.7451, 100.385
44, 151825506, 16.049, 101.837
45, 942092006, 19.9016, 105.441
46, 942091800, 18.5013, 104.13
47, 151825523, 16.8727, 108.783
48, 151825533, 16.0551, 106.63
49, 942092007, 18.8696, 115.543
50, 942091801, 19.7243, 111.312
51, 942091849, 19.3076, 116.017
52, 942091807, 20.8796, 116.279
53, 942091813, 20.0516, 119.165
54, 942091830, 19.0199, 117.68
55, 151825546, 16.951, 119.326
56, 151825528, 18.2388, 123.389
57, 942092016, 20.2245, 124.176
58, 942092036, 19.9233, 124.692
59, 942091810, 18.6468, 123.719
60, 942091811, 17.7499, 123.678
61, 151825508, 14.4947, 121.693
62, 942091844, 20.4268, 123.628
63, 942091803, 20.7034, 122.724
64, 942091848, 20.5118, 125.082
65, 942091850, 19.4553, 126.424
66, 942091785, 17.976, 125.243
67, 151825544, 17.7269, 126.309
68, 151825510, 17.1806, 128.345
69, 942091831, 20.1104, 127.26
70, 151825549, 17.2104, 128.843
71, 942091855, 19.2756, 129.313
72, 151825515, 17.2246, 128.439
73, 942092013, 19.4143, 133.581
74, 151825535, 15.8634, 134.071
75, 942091834, 17.7979, 129.535
76, 942091832, 20.6151, 129.767
77, 942091784, 19.819, 131.93
78, 942091843, 18.6849, 133.336
79, 942092044, 18.6589, 136.153
80, 151825534, 16.2306, 136.779
81, 942092037, 19.4808, 136.059
82, 942091798, 19.1418, 132.681
83, 151825548, 15.7817, 135.717
84, 942092015, 19.9586, 138.732
85, 942092039, 19.5506, 138.286
86, 942091799, 18.9975, 134.594
87, 942091796, 20.6393, 135.018
88, 942092038, 19.985, 138.147
89, 151825509, 15.3782, 135.211
90, 942091847, 20.6663, 137.328
91, 942092018, 20.2734, 141.134
92, 942091792, 18.5923, 136.295
93, 942092017, 19.9817, 141.14
94, 942085321, 20.6663, 140.202
95, 942091833, 20.7197, 137.633
96, 942091794, 19.4208, 137.503
97, 942091797, 18.824, 138.669
98, 151825507, 17.8649, 139.898
99, 942091793, 18.692, 141.019
100, 942092019, 19.2137, 146.653
101, 151825536, 16.7482, 147.034
102, 942091854, 19.9369, 145.863
103, 942091852, 19.2642, 146.442
104, 151825514, 17.3459, 148.381
105, 151825525, 17.9036, 144.981
106, 151825504, 16.0646, 147.481
107, 151825498, 15.5959, 148.877
108, 942091835, 19.0101, 150.428
109, 942091846, 20.7461, 151.561
110, 942092027, 18.5714, 155.372
111, 942085095, 19.2333, 153.371
112, 942091786, 19.5463, 153.288
113, 151825553, 16.3806, 158.723
114, 942091845, 20.6913, 155.569
115, 151825497, 16.6842, 154.507
116, 942091805, 18.0243, 155.412
117, 942085313, 19.4866, 158.197
118, 942091804, 18.7098, 157.17
119, 151825496, 15.0278, 157.537
120, 942091791, 17.7626, 157.595
121, 151825551, 17.7824, 163.857
122, 942085312, 19.0273, 161.134
123, 942091806, 19.889, 159.559
124, 151825519, 12.1154, 163.899
125, 942092043, 19.9446, 162.584
126, 942091790, 19.8424, 159.651
127, 942092040, 19.2335, 163.556
128, 151825518, 17.5862, 164.459
129, 151825530, 17.7492, 161.242
130, 942085099, 20.1687, 163.237
131, 151825558, 17.3418, 166.568
132, 508246539, 19.9506, 165.65
133, 151825512, 19.1439, 166.478
134, 151825495, 17.2999, 165.666
135, 151825502, 17.0625, 167.239
136, 942085334, 19.2198, 169.344
137, 942092028, 18.4976, 169.883
138, 151825492, 16.818, 166.585
139, 151825491, 18.0286, 167.063
140, 151825529, 16.6762, 171.244
141, 942092026, 20.3083, 173.305
142, 942091853, 20.6002, 171.762
143, 151825543, 17.4138, 174.794
144, 942085332, 19.0057, 174.577
145, 151825563, 17.2214, 174.97
146, 942092031, 19.4273, 174.996
147, 942092022, 20.7046, 175.488
148, 942085320, 18.588, 174.935
149, 942091836, 19.8574, 173.544
150, 942085322, 20.5789, 176.575
151, 942091795, 19.9734, 173.332
152, 942092056, 20.085, 178.012
153, 942091857, 20.5493, 176.502
154, 151825503, 17.5831, 174.467
155, 942091789, 19.2281, 174.952
156, 151825559, 16.0713, 178.417
157, 942085100, 19.7762, 177.992
158, 942085311, 20.5954, 179.619
159, 942092024, 18.9077, 182.169
160, 942092041, 20.1989, 181.133
161, 942092023, 20.6706, 182.74
162, 942092029, 18.7486, 182.994
163, 151825524, 18.0288, 179.246
164, 942091829, 20.227, 179.345
165, 942091827, 18.291, 179.841
166, 151825505, 17.3267, 179.677
167, 942091783, 19.4651, 181.134
168, 942092045, 18.5504, 184.574
169, 151825564, 9.278, 184.346
170, 942092030, 19.56, 185.368
171, 151825487, 17.9394, 182.118
172, 942091788, 19.0307, 182.084
173, 942085309, 18.0734, 185.693
174, 151825540, 17.4611, 184.191
175, 942085335, 19.9784, 187.871
176, 942085091, 18.3353, 185.609
177, 942092032, 18.8238, 189.35
178, 151825566, 16.8902, 189.212
179, 151825490, 16.7083, 186.053
180, 942092021, 20.1099, 190.936
181, 942085073, 18.8818, 189.101
182, 942091780, 19.2004, 188.332
183, 942091787, 19.9884, 188.935
184, 942092020, 18.9941, 194.053
185, 151825520, 17.3309, 190.868
186, 151825482, 17.6564, 191.135
187, 942091828, 18.91, 191.315
188, 942092042, 18.6083, 193.958
189, 942091860, 19.4567, 193.857
190, 942085338, 19.2608, 196.539
191, 942092033, 18.7718, 197.031
192, 151825567, 13.3531, 196.873
193, 942085308, 19.8941, 196.976
194, 942092050, 19.5645, 198.082
