# index, TIC ID, TMag, separation (arcsec)
0, 148914726, 10.1313, 0.0
1, 148914728, 16.9216, 30.381
2, 950685863, 20.367, 36.755
3, 950685865, 20.689, 40.081
4, 950685608, 20.8888, 44.616
5, 148914724, 12.6933, 45.571
6, 950685609, 17.9478, 63.906
7, 148914727, 17.0561, 73.808
8, 148914723, 18.2591, 91.287
9, 950685855, 19.9747, 97.33
10, 950685611, 19.6981, 99.899
11, 950685864, 20.6816, 104.323
12, 148914722, 13.7799, 115.434
13, 148914729, 17.7038, 143.01
14, 148914721, 16.0801, 145.384
15, 148914732, 18.0598, 147.33
16, 148914731, 17.7574, 149.136
17, 950685856, 19.0232, 149.305
18, 950685610, 19.1418, 152.333
19, 148914725, 12.4477, 157.975
20, 950685866, 18.4916, 160.225
21, 950685853, 18.8382, 168.017
22, 950685852, 19.3141, 169.269
23, 148913181, 13.3728, 171.324
24, 950685854, 19.367, 173.344
25, 148914717, 15.609, 179.509
26, 148914730, 14.0071, 181.532
27, 950685851, 20.8273, 182.683
28, 148914719, 17.1096, 182.081
29, 148914736, 17.113, 185.864
30, 148914720, 17.799, 190.284
31, 950685869, 17.3293, 196.606
32, 950685612, 18.6373, 197.777
33, 148913177, 17.4749, 199.183
34, 950685861, 18.6344, 200.349
35, 950685605, 18.6953, 200.99
36, 950685859, 19.8651, 204.562
37, 950685857, 18.6531, 209.894
38, 950685867, 19.0504, 210.515
39, 950685850, 19.8801, 213.948
40, 148914737, 17.4738, 214.062
41, 148914733, 16.3882, 216.673
42, 950685604, 19.7761, 218.185
43, 950685868, 19.9183, 221.421
44, 148914735, 13.6797, 224.315
45, 950685860, 20.0406, 225.369
46, 950685600, 20.6127, 232.588
47, 950685645, 19.1082, 239.125
48, 950685607, 18.8436, 239.833
49, 950685606, 18.4218, 241.57
50, 950685870, 19.6015, 246.674
51, 148914738, 15.8333, 247.129
52, 148913192, 16.8768, 248.031
53, 148913182, 14.2681, 252.455
54, 148914715, 17.2208, 252.424
55, 950685871, 17.977, 252.426
56, 950685862, 19.9316, 264.751
57, 148914716, 17.756, 266.267
58, 148914718, 16.8391, 266.662
59, 950685640, 19.9446, 269.564
60, 950685642, 20.1902, 272.684
61, 950685849, 18.9304, 272.497
62, 148914714, 17.1843, 273.843
63, 148914739, 12.7455, 275.897
64, 148913175, 15.9513, 277.131
65, 950685858, 19.3669, 279.027
66, 950685636, 20.6502, 283.594
67, 148914734, 18.4292, 288.256
68, 148913173, 16.6502, 290.413
69, 950685603, 19.628, 293.091
70, 950685895, 18.4525, 294.16
71, 355937754, 16.7099, 295.047
72, 148914743, 15.7519, 296.603
73, 148914741, 13.6601, 297.0
