# index, TIC ID, TMag, separation (arcsec)
0, 160390955, 12.0729, 0.0
1, 2004604110, 20.4095, 3.777
2, 2004604111, 17.8959, 5.731
3, 2004604113, 19.5076, 11.889
4, 2004604114, 19.6809, 15.464
5, 2004604109, 18.0857, 16.247
6, 160390947, 16.1663, 16.056
7, 160385514, 12.2899, 19.878
8, 160385499, 14.9959, 20.049
9, 160390941, 14.7165, 20.001
10, 2004604108, 18.54, 20.906
11, 2004604112, 20.1157, 21.107
12, 2004604119, 20.5999, 24.581
13, 160385497, 17.2497, 26.603
14, 160390966, 17.4882, 29.651
15, 160390972, 17.1662, 30.11
16, 160390968, 15.2525, 33.157
17, 160385530, 17.0476, 34.144
18, 2004604122, 20.6801, 38.386
19, 2004603153, 20.0966, 40.561
20, 160385492, 14.451, 41.668
21, 160385493, 16.937, 42.023
22, 2004603152, 20.6654, 44.024
23, 2004604115, 19.2594, 43.666
24, 160385507, 17.873, 44.436
25, 160390929, 17.8423, 45.615
26, 2004603151, 19.22, 47.297
27, 160390938, 18.3224, 49.151
28, 2004603149, 17.8628, 50.358
29, 2004604120, 19.504, 50.32
30, 160385504, 16.9908, 51.09
31, 2004603163, 19.3343, 51.517
32, 160390990, 14.6042, 50.336
33, 160390981, 19.1837, 50.805
34, 160385495, 18.0002, 53.589
35, 2004604116, 18.9965, 52.844
36, 160390957, 15.9799, 53.202
37, 160385524, 13.7992, 54.764
38, 160385482, 17.0594, 54.373
39, 2004603150, 19.8876, 56.567
40, 160385535, 16.0682, 58.373
41, 2004603166, 18.7338, 60.146
42, 2004603148, 19.0815, 60.146
43, 2004603976, 20.824, 59.625
44, 2004603967, 19.4634, 61.046
45, 2004603968, 19.8655, 61.068
46, 2004604118, 19.9016, 62.997
47, 2004603165, 20.7183, 64.019
48, 160385460, 17.2123, 64.362
49, 2004604132, 18.5193, 64.544
50, 160390933, 14.6017, 64.978
51, 2004603039, 19.3303, 65.595
52, 2004604123, 20.6596, 67.036
53, 2004604124, 19.2737, 67.932
54, 2004603966, 20.5284, 67.865
55, 2004603975, 20.5899, 67.895
56, 160390915, 15.2364, 68.319
57, 160385536, 15.2808, 69.974
58, 2004604133, 19.4547, 69.79
59, 2004604117, 20.1139, 69.978
60, 2004603147, 20.6356, 70.932
61, 2004603965, 18.6728, 71.082
62, 160385545, 17.7506, 72.38
63, 2004603974, 20.6013, 71.607
64, 2004604152, 19.6063, 73.167
65, 2004603154, 19.5498, 73.17
66, 160390977, 16.2302, 72.863
67, 2004603979, 18.1215, 73.117
68, 160385541, 17.266, 74.385
69, 2004604121, 19.3087, 74.509
70, 2004604125, 18.8949, 74.211
71, 160385465, 13.5733, 74.678
