# index, TIC ID, TMag, separation (arcsec)
0, 396740648, 10.7424, 0.0
1, 396740644, 17.0917, 26.735
2, 396776946, 17.2693, 35.041
3, 705048925, 18.9691, 39.962
4, 705048928, 19.6791, 46.773
5, 705048926, 19.4944, 48.994
6, 705048927, 18.6858, 49.402
7, 396776948, 16.753, 48.222
8, 396776938, 17.0173, 48.32
9, 396776943, 15.9434, 51.424
10, 705048923, 19.9637, 56.255
11, 396740651, 18.959, 58.493
12, 705049347, 19.8625, 61.18
13, 705048932, 18.7929, 63.43
14, 396740660, 17.9026, 64.296
15, 705048922, 18.6776, 65.575
16, 705048924, 19.4569, 67.145
17, 396740635, 16.1083, 71.209
18, 705048929, 18.4221, 71.496
19, 705048931, 20.5838, 72.104
20, 396740658, 17.8989, 73.246
21, 396740636, 17.2285, 78.379
22, 396740632, 12.1668, 79.049
23, 705048920, 19.8705, 78.689
24, 705048930, 17.5886, 79.645
25, 705048921, 17.8603, 82.919
26, 396776941, 18.3762, 84.87
27, 396740656, 16.9365, 87.032
28, 705049346, 20.2253, 89.306
29, 396740662, 16.0012, 92.271
30, 396740638, 14.9869, 98.66
31, 705048951, 19.6169, 102.807
32, 705048938, 19.5027, 102.474
33, 705048936, 18.7617, 102.388
34, 705048939, 20.6945, 109.417
35, 705048913, 20.2846, 109.209
36, 705048919, 19.7438, 112.112
37, 705048949, 18.7989, 114.673
38, 396740647, 13.1496, 120.77
39, 705049348, 19.119, 121.587
40, 705049349, 19.4556, 121.855
41, 705048918, 19.8334, 121.473
42, 705048873, 19.6978, 123.139
43, 396776959, 17.0282, 122.955
44, 396740630, 18.8792, 124.429
45, 705048937, 18.9778, 124.429
46, 396776937, 15.6865, 124.729
47, 705048952, 20.672, 128.724
48, 705048940, 19.4475, 128.215
49, 705048947, 18.6861, 131.361
50, 396776955, 18.1929, 132.854
51, 396776960, 13.4688, 134.658
52, 396776930, 16.1385, 136.36
53, 396776936, 15.8343, 141.361
54, 396740642, 18.063, 142.717
55, 705049290, 18.1286, 143.148
56, 705048915, 19.6054, 143.878
57, 396740664, 15.9876, 148.508
58, 705049350, 20.3226, 150.758
59, 705048933, 19.9724, 150.7
60, 705049285, 20.2088, 151.972
61, 396740667, 16.8268, 152.879
62, 396776923, 15.4423, 151.995
63, 705048948, 19.5271, 153.302
64, 705048872, 18.2215, 155.682
65, 396740654, 16.9403, 157.049
66, 705048914, 19.1129, 155.328
67, 705048950, 19.1227, 157.8
68, 396776918, 13.2302, 156.918
69, 396740619, 18.2053, 157.052
70, 705049286, 19.2948, 158.004
71, 396776952, 16.5243, 158.675
72, 396776913, 16.9654, 161.568
73, 396740624, 18.0509, 161.663
74, 705049287, 20.0915, 161.812
75, 705048934, 19.0718, 161.64
76, 705049361, 19.7614, 164.071
77, 396740625, 16.5081, 164.292
78, 396776919, 17.1536, 164.533
79, 705049284, 19.5007, 165.212
80, 396776914, 14.6024, 165.489
81, 705049289, 20.7105, 165.933
82, 705048954, 19.9634, 169.744
83, 396740622, 14.1082, 170.318
84, 705048945, 19.1544, 171.779
85, 396776963, 15.3021, 172.482
86, 396776964, 18.2864, 172.401
87, 396740621, 17.3214, 176.077
88, 705048871, 18.2751, 177.185
89, 705048935, 20.3227, 177.504
90, 396740615, 18.5686, 178.221
91, 705049351, 18.6356, 180.412
92, 396776909, 17.207, 181.124
93, 396740616, 17.311, 181.269
94, 705048870, 20.3111, 181.207
95, 705048953, 18.4688, 182.106
96, 396740661, 16.3239, 184.051
97, 705048916, 20.2629, 183.467
98, 705048866, 18.5238, 184.575
99, 705048917, 19.6898, 185.232
100, 705048942, 19.973, 187.518
101, 396776975, 14.616, 187.434
102, 396776907, 10.7741, 181.665
103, 396776926, 17.8477, 189.394
104, 396776974, 15.8195, 192.445
105, 396740663, 12.9998, 195.688
106, 396740643, 16.17, 195.994
107, 705049352, 19.0938, 196.837
108, 396776978, 17.7244, 195.318
109, 396776908, 18.1556, 196.34
110, 396740669, 15.4459, 199.792
111, 705048956, 17.6253, 199.816
112, 396740671, 16.9521, 203.817
113, 705048946, 19.4185, 203.378
114, 705048957, 18.5955, 206.297
115, 396776957, 14.8466, 205.22
116, 396776931, 18.3158, 207.725
117, 705049297, 19.4028, 209.503
118, 396776985, 14.7288, 208.698
119, 396740637, 17.4522, 209.697
120, 520720823, 20.2882, 210.168
121, 705048941, 19.989, 209.03
122, 396776944, 18.6453, 210.815
123, 396776979, 16.3399, 211.259
124, 705048903, 20.1727, 211.225
125, 705048867, 17.2855, 213.824
126, 396776968, 18.1797, 213.937
127, 705049288, 20.6633, 216.273
128, 705048943, 20.5895, 215.594
129, 705049283, 18.6085, 216.721
130, 396740617, 16.0097, 217.814
131, 705049298, 15.6655, 219.491
132, 396740659, 15.6655, 219.491
133, 396740675, 17.5257, 220.094
134, 396740607, 16.8369, 220.199
135, 705049299, 15.9937, 221.802
136, 705049362, 19.632, 221.601
137, 396776927, 16.7876, 220.77
138, 705049293, 19.1522, 223.144
139, 396776973, 17.0341, 221.538
140, 705049354, 20.0277, 225.291
141, 705049292, 19.3986, 226.545
142, 705048889, 19.7025, 225.695
143, 396740609, 16.0082, 228.041
144, 396776924, 15.9464, 227.635
145, 705048944, 18.8344, 228.306
146, 705049355, 20.5886, 230.636
147, 705048911, 20.3466, 229.844
148, 705048912, 20.6385, 231.2
149, 705049146, 20.0651, 233.786
150, 705049156, 19.1333, 235.006
151, 396776928, 16.8554, 234.496
152, 705048955, 20.5722, 236.211
153, 396740606, 17.1423, 236.721
154, 705049144, 19.5006, 237.15
155, 705049294, 18.0519, 239.508
156, 396776966, 12.5814, 239.469
157, 396776910, 14.8594, 240.156
158, 705048910, 17.5932, 240.271
159, 705049356, 20.2418, 242.847
160, 396740646, 14.8276, 242.987
161, 705049291, 19.4722, 242.766
162, 705049268, 19.6242, 242.667
163, 705049353, 19.5446, 244.198
164, 705048909, 20.0026, 242.843
165, 396776951, 17.8685, 243.169
166, 705048888, 18.24, 243.176
167, 705048868, 17.7955, 244.291
168, 705048886, 20.0735, 243.889
169, 705048863, 18.4747, 244.242
170, 396776987, 16.4592, 244.458
171, 705048869, 18.6077, 244.601
172, 705049270, 19.865, 245.673
173, 705049145, 19.3475, 245.732
174, 705049363, 19.1248, 247.137
175, 705048906, 18.08, 245.761
176, 705048908, 20.3138, 248.457
177, 396776989, 16.1272, 248.592
178, 705048958, 20.1247, 251.124
179, 396740679, 16.4613, 251.895
180, 705049301, 18.4177, 252.513
181, 396776992, 17.804, 251.368
182, 705048859, 17.5687, 252.591
183, 396740650, 17.7961, 254.153
184, 705049300, 17.8325, 254.481
185, 705049281, 17.8166, 254.203
186, 396740682, 18.0054, 254.808
187, 396776961, 16.7408, 255.44
188, 396776929, 14.8234, 257.064
189, 396776956, 14.4587, 260.71
190, 396776921, 14.9498, 263.689
191, 396776994, 14.8695, 264.239
192, 396776898, 9.1681, 265.07
193, 396740681, 17.1433, 267.764
194, 396740610, 16.4347, 267.488
195, 520722055, 19.5251, 267.021
196, 705049147, 18.8139, 267.834
197, 396776995, 18.2927, 267.661
198, 705049365, 18.7058, 269.157
199, 396740631, 17.0245, 269.993
200, 705048907, 17.9616, 269.303
201, 705049302, 18.6963, 271.131
202, 705049364, 18.3895, 271.234
203, 396740670, 18.2019, 271.688
204, 396776901, 18.3704, 270.671
205, 705049279, 19.5319, 271.52
206, 396740640, 18.05, 274.324
207, 705049296, 18.437, 275.353
208, 705049280, 19.6903, 275.673
209, 396776933, 16.7571, 275.333
210, 396776905, 17.6183, 276.228
211, 396740678, 16.0621, 278.205
212, 705049127, 20.2473, 277.835
213, 396740685, 13.7031, 279.309
214, 705049360, 19.9897, 280.33
215, 396776934, 16.2923, 279.321
216, 705049359, 18.2013, 281.731
217, 705049269, 20.0625, 280.864
218, 705049357, 18.7612, 282.377
219, 396776990, 16.631, 281.278
220, 705049155, 16.9538, 282.303
221, 396740600, 17.4355, 282.279
222, 705049295, 19.658, 283.378
223, 396776916, 18.2607, 283.515
224, 396740687, 16.7932, 284.811
225, 705048887, 18.0201, 283.267
