# index, TIC ID, TMag, separation (arcsec)
0, 155898758, 12.5764, 0.0
1, 1001244912, 19.8941, 60.666
2, 1001244901, 20.5916, 91.618
3, 155898760, 16.1908, 92.873
4, 1001244763, 18.232, 107.86
5, 155898757, 17.6147, 111.092
6, 1001244911, 19.4936, 121.848
7, 155898759, 16.2626, 151.595
8, 1001244913, 20.3607, 162.237
9, 1001244772, 20.7576, 177.459
10, 1001244900, 20.5112, 179.909
11, 155898762, 16.8712, 179.822
12, 155898764, 17.718, 181.226
13, 155898755, 17.6996, 184.242
14, 155898761, 18.6148, 191.829
15, 155898752, 17.6934, 191.087
16, 1001244921, 18.5092, 196.595
17, 1001244907, 20.6513, 196.862
18, 1001244764, 20.58, 203.332
19, 155898753, 18.1975, 204.638
20, 155898767, 19.3097, 211.001
21, 1001244914, 20.1325, 223.894
22, 1001244908, 20.5054, 223.386
23, 155898751, 14.862, 225.822
24, 155898766, 17.8384, 227.809
25, 1001244738, 18.9972, 228.443
26, 1001244916, 19.4751, 229.48
27, 1001244906, 20.713, 232.329
28, 255804937, 15.5478, 237.935
29, 1001244771, 20.5867, 240.004
30, 155898754, 16.4599, 239.595
31, 1001244910, 18.7913, 243.489
32, 255804930, 15.1563, 246.517
33, 357390382, 17.4486, 247.535
34, 1001244767, 19.7234, 249.589
35, 1001244898, 17.7077, 250.876
36, 155898768, 14.6804, 254.983
37, 155898756, 16.551, 253.941
38, 1001244922, 20.2887, 254.291
39, 155898763, 15.0247, 257.641
40, 155898750, 16.8131, 262.671
41, 155898765, 17.65, 266.879
42, 1001244899, 20.7031, 269.164
43, 1001244737, 18.8418, 272.802
44, 255804926, 16.885, 276.042
45, 1001244766, 17.1433, 277.22
46, 1001244923, 18.8801, 275.476
47, 1001244774, 19.7362, 277.009
48, 1001244915, 20.6049, 279.686
49, 155898769, 17.14, 281.988
50, 1001244918, 19.6677, 281.98
51, 1001244773, 20.0033, 285.905
52, 1001244736, 19.8619, 288.128
53, 1001244761, 20.6606, 289.532
54, 1001244762, 18.6362, 290.467
55, 1001244770, 19.444, 292.262
56, 155898746, 17.1644, 290.361
57, 1001244733, 19.6484, 294.527
