# index, TIC ID, TMag, separation (arcsec)
0, 62483237, 9.3636, 0.0
1, 2028017029, 19.6773, 15.069
2, 2028017040, 19.7255, 53.823
3, 2028017041, 19.3811, 60.842
4, 2028017133, 18.4176, 71.406
5, 62482371, 15.7254, 73.675
6, 2028017132, 19.0295, 78.024
7, 62484536, 16.0259, 93.416
8, 62484447, 17.6875, 95.188
9, 62482540, 16.0167, 94.827
10, 2028017141, 19.6404, 97.94
11, 62484622, 18.448, 102.023
12, 62483082, 17.1495, 106.213
13, 62484641, 19.1192, 112.65
14, 2028017127, 20.5931, 114.159
15, 2028017134, 20.351, 114.902
16, 62483078, 17.86, 116.582
17, 62484566, 16.7216, 117.545
18, 62482290, 17.6726, 119.471
19, 62484233, 15.372, 122.566
20, 2028017143, 20.7617, 123.7
21, 2028017038, 18.2905, 130.32
22, 62484362, 17.6707, 135.573
23, 62483817, 17.8073, 141.443
24, 2028017027, 20.0873, 143.541
25, 62484345, 16.16, 145.906
26, 2028017142, 18.3743, 146.44
27, 62481668, 12.1245, 148.768
28, 2028017047, 20.1741, 151.565
29, 62484461, 16.2937, 153.372
30, 62483703, 18.1534, 156.891
31, 2028017126, 17.9047, 158.785
32, 2028017039, 19.2538, 159.258
33, 2028017144, 18.6263, 160.054
34, 2028017028, 20.1387, 162.838
35, 2028017026, 20.4624, 163.587
36, 2028017147, 19.7029, 166.919
37, 2028017050, 19.9406, 170.586
38, 2028017046, 20.1781, 172.798
39, 62484037, 18.3552, 173.269
40, 2028017043, 17.4841, 172.899
41, 2028017135, 18.319, 174.688
42, 2028017045, 19.4951, 174.681
43, 2028017148, 19.8817, 174.615
44, 2028017044, 19.1148, 176.715
45, 62483238, 13.256, 176.902
46, 2028017042, 19.5825, 179.503
47, 2028017131, 19.2545, 182.39
48, 62482132, 16.7184, 186.486
49, 2028017048, 19.8048, 188.378
50, 2028017128, 20.0125, 193.45
51, 2028017145, 20.4337, 193.924
52, 2028017025, 18.3239, 197.387
53, 62483045, 18.1874, 199.476
54, 62483680, 17.2242, 199.233
55, 62483145, 17.1818, 201.038
56, 2028017125, 19.6644, 202.716
57, 62483195, 15.1243, 204.02
58, 62484116, 19.1963, 204.187
59, 62763613, 14.9894, 204.137
60, 2028017049, 20.3373, 205.8
61, 2028017150, 18.4527, 212.608
62, 62764970, 16.7994, 213.031
63, 62483944, 18.9325, 213.507
64, 62482520, 17.4948, 214.645
65, 2028017149, 20.6419, 215.246
66, 2028017130, 18.7984, 215.996
67, 2028016822, 19.3612, 216.266
68, 62482648, 16.9212, 216.84
69, 62481667, 13.2171, 219.261
70, 2028017138, 18.6862, 219.695
71, 2028016821, 19.5835, 224.99
72, 2028017024, 20.636, 227.558
73, 2028017146, 19.2969, 228.275
74, 62483196, 9.4126, 229.763
75, 2028017035, 18.5546, 230.348
76, 62484350, 16.2375, 232.773
77, 2028017129, 19.4527, 233.74
78, 62481632, 15.0828, 234.511
79, 62482560, 16.3527, 235.572
80, 62482926, 18.4623, 237.934
81, 62484572, 19.0551, 238.885
82, 2028017151, 19.459, 241.574
83, 62484286, 17.0033, 242.573
84, 2028017094, 18.7049, 243.014
85, 2028017023, 20.2757, 243.694
86, 2028017034, 19.0239, 244.706
87, 62482516, 18.0595, 246.32
88, 62482892, 18.9561, 247.259
89, 62484369, 17.697, 247.372
90, 62482934, 18.275, 250.574
91, 62484440, 16.0557, 256.453
92, 62483908, 17.4786, 256.363
93, 62484526, 18.1013, 256.658
94, 62482874, 16.9402, 257.701
95, 62483877, 18.3394, 258.46
96, 62483918, 18.0967, 261.106
97, 2028016923, 19.3138, 262.848
98, 62482844, 17.994, 263.989
99, 2028017093, 19.0813, 264.049
100, 2028017037, 19.3606, 265.023
101, 62482456, 17.2237, 264.836
102, 2028017153, 19.4205, 265.64
103, 2028017036, 19.4298, 265.898
104, 62482732, 17.209, 265.182
105, 2028017031, 19.8047, 266.785
106, 2028017194, 18.5785, 267.659
107, 62484368, 18.067, 268.09
108, 2028017152, 20.2683, 268.773
109, 62483711, 16.7437, 269.346
110, 2028017136, 20.0841, 271.96
111, 2028016924, 20.1817, 272.086
112, 2028017022, 20.0267, 272.401
113, 2028017195, 20.3853, 272.84
114, 62484470, 15.6992, 283.246
115, 2028017020, 18.3036, 284.598
116, 62765035, 18.5192, 287.739
117, 62762014, 14.6114, 292.034
118, 62762629, 16.3482, 295.714
119, 2028016820, 20.0496, 295.935
120, 2028016933, 18.8352, 296.286
121, 62482511, 17.2566, 296.717
