# index, TIC ID, TMag, separation (arcsec)
0, 19025965, 11.4479, 0.0
1, 760505000, 19.7358, 6.707
2, 19025964, 17.507, 16.987
3, 19025962, 10.9143, 39.643
4, 760504894, 18.8653, 43.255
5, 760505003, 19.2423, 45.482
6, 760505001, 19.837, 44.173
7, 760504895, 19.5042, 47.505
8, 760504890, 19.2743, 53.003
9, 760504893, 18.3354, 60.166
10, 19025974, 16.872, 62.399
11, 760504891, 18.1012, 64.29
12, 760505004, 20.6767, 65.554
13, 760504892, 19.7692, 68.451
14, 19025970, 14.7899, 69.656
15, 19025954, 17.4301, 71.646
16, 760504889, 19.5121, 72.454
17, 760504656, 19.5895, 73.437
18, 19025969, 15.0978, 76.11
19, 760504888, 17.6107, 77.932
20, 760505006, 19.4949, 85.825
21, 19025956, 16.5262, 85.956
22, 19025963, 17.1393, 85.599
23, 760504887, 19.6945, 86.761
24, 760505002, 18.5622, 87.073
25, 760504771, 18.9916, 88.664
26, 760504900, 20.2413, 93.421
27, 19025955, 17.6704, 98.826
28, 760505005, 20.5404, 104.874
29, 760505010, 18.2445, 104.524
30, 19025980, 18.3144, 106.099
31, 760504885, 18.8624, 107.107
32, 760504776, 19.3332, 107.664
33, 19025981, 17.6622, 109.323
34, 760504884, 17.6622, 109.323
35, 760504657, 19.551, 109.464
36, 760504773, 17.9954, 109.787
37, 760504902, 17.6682, 114.31
38, 760504775, 20.8824, 116.05
39, 19025960, 15.296, 121.345
40, 760504901, 19.2728, 127.134
41, 760504772, 19.3934, 125.294
42, 760504774, 19.1897, 126.519
43, 760505011, 20.5711, 129.567
44, 19025973, 17.8433, 131.988
45, 19025977, 13.627, 129.988
46, 760504875, 20.1261, 132.435
47, 760504886, 19.5837, 133.097
48, 760504897, 20.6334, 134.16
49, 760505012, 18.435, 138.419
50, 760505008, 18.7106, 137.713
51, 19025952, 15.8817, 141.883
52, 760504898, 20.6816, 143.52
53, 760504789, 18.0534, 141.902
54, 19025966, 16.6017, 144.87
55, 760505019, 19.159, 145.772
56, 760504896, 19.3675, 146.086
57, 19025941, 17.4851, 146.166
